model_name,model_parameters,time_stamp,label_name,cross_val_f1_score,cross_val_acc_score,time_to_fit,time_to_score
KNeighborsClassifier,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=3, p=2,
                     weights='uniform')",1568045636.3577015,offtopic,0.5454338204749047,0.7259993276928387,0.069356369972229,1.6707340955734251
SVC,"SVC(C=0.025, cache_size=200, class_weight='balanced', coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",1568045733.726307,offtopic,0.5314309230092371,0.6336025909168721,7.3598510265350345,0.497896695137024
SVC,"SVC(C=1, cache_size=200, class_weight='balanced', coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",1568045814.7430794,offtopic,0.4385539980416927,0.7811168953754256,5.3725106716156015,1.1481204509735108
DecisionTreeClassifier,"DecisionTreeClassifier(class_weight='balanced', criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",1568045837.3900228,offtopic,0.4904778148348688,0.5302618316018795,1.2260547399520874,0.002892112731933593
RandomForestClassifier,"RandomForestClassifier(bootstrap=True, class_weight='balanced',
                       criterion='gini', max_depth=5, max_features=1,
                       max_leaf_nodes=None, min_impurity_decrease=0.0,
                       min_impurity_split=None, min_samples_leaf=1,
                       min_samples_split=2, min_weight_fraction_leaf=0.0,
                       n_estimators=10, n_jobs=None, oob_score=False,
                       random_state=None, verbose=0, warm_start=False)",1568045847.5937178,offtopic,0.5335540919382854,0.6389733257591189,0.036781382560729985,0.006576895713806152
MLPClassifier,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",1568045965.6156974,offtopic,0.5424894018925324,0.7013634781328031,9.865915846824645,0.005351352691650391
GaussianNB,"GaussianNB(priors=None, var_smoothing=1e-09)",1568045975.3353307,offtopic,0.5469328046060526,0.6049314877880139,0.03105509281158448,0.008918428421020506
LogisticRegression,"LogisticRegression(C=1.0, class_weight='balanced', dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0.1,
                   max_iter=200, multi_class='warn', n_jobs=10,
                   penalty='elasticnet', random_state=42, solver='saga',
                   tol=0.001, verbose=0, warm_start=False)",1568046134.8944118,offtopic,0.5448495812042609,0.6389995533891262,13.621009850502016,0.003682398796081543
KNeighborsClassifier,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=3, p=2,
                     weights='uniform')",1568046164.5213852,sentimentnegative,0.5736033893615083,0.5765338262310729,0.06684911251068115,1.6688507318496704
SVC,"SVC(C=0.025, cache_size=200, class_weight='balanced', coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",1568046329.234103,sentimentnegative,0.611490003942262,0.6149358821712365,13.20201585292816,0.5585521221160888
